iso3,adm_level,adm_name,adm_id,source,scenario,pop_year,count_strict,count_nonstrict,count_unknowncat,pop_total,pop_strict,pop_strict10,pop_nonstrict,pop_nonstrict10,pop_unknowncat,pop_unknowncat10,area_strict,area_strict10,area_nonstrict,area_nonstrict10,area_unknowncat,area_unknowncat10
CIV,1,Bas-Sassandra,83157122B96959932745266,WP,Confirmed_2000,2000,0,1,1,1548171.125,0,0,6122.9716796875,37010.1328125,22912.43359375,83100.046875,0,0,154.37281799316406,454.5599670410156,1992.6343994140625,2341.56591796875
CIV,1,Bas-Sassandra,83157122B96959932745266,WP,Confirmed_2020,2020,0,1,1,2676618,0,0,8337.955078125,59459.0703125,30954.697265625,125036.5390625,0,0,154.37281799316406,454.5599670410156,1992.6343994140625,2341.56591796875
CIV,1,Bas-Sassandra,83157122B96959932745266,WP,Unknown_Year,2020,0,0,18,2676618,0,0,0,0,451868.25,1090333.875,0,0,0,0,7223.0166015625,9853.673828125
CIV,1,Denguele,83157122B12160353323799,WP,Confirmed_2000,2000,0,0,0,209026.3125,0,0,0,0,0,0,0,0,0,0,0,0
CIV,1,Denguele,83157122B12160353323799,WP,Confirmed_2020,2020,0,0,0,335535.59375,0,0,0,0,0,0,0,0,0,0,0,0
CIV,1,Denguele,83157122B12160353323799,WP,Unknown_Year,2020,0,0,29,335535.59375,0,0,0,0,24196.03515625,203892.671875,0,0,0,0,2341.00830078125,11176.662109375
CIV,1,District Autonome D'Abidjan,83157122B76853064397847,WP,Confirmed_2000,2000,1,0,0,3280909.25,128719.21875,2376265.75,0,0,0,0,34.40004348754883,550.92987060546875,0,0,0,0
CIV,1,District Autonome D'Abidjan,83157122B76853064397847,WP,Confirmed_2020,2020,1,1,0,5464587,108327.1015625,4063553.25,1695.9052734375,603704.875,0,0,34.40004348754883,550.92987060546875,1.4823609590530396,225.1586151123047,0,0
CIV,1,District Autonome D'Abidjan,83157122B76853064397847,WP,Unknown_Year,2020,0,0,11,5464587,0,0,0,0,17810.6171875,3170327.5,0,0,0,0,197.92124938964844,1499.9207763671875
CIV,1,District Autonome De Yamoussoukro,83157122B30232425959699,WP,Confirmed_2000,2000,0,1,0,258777.71875,0,0,2429.3466796875,16652.171875,0,0,0,0,166.4972686767578,438.1658630371094,0,0
CIV,1,District Autonome De Yamoussoukro,83157122B30232425959699,WP,Confirmed_2020,2020,0,1,0,406088.09375,0,0,3971.04736328125,29979.90625,0,0,0,0,166.4972686767578,438.1658630371094,0,0
CIV,1,District Autonome De Yamoussoukro,83157122B30232425959699,WP,Unknown_Year,2020,0,0,3,406088.09375,0,0,0,0,75.10090637207031,31881.5390625,0,0,0,0,1.4371182918548584,373.9361877441406
CIV,1,Goh-Djiboua,83157122B34711482467037,WP,Confirmed_2000,2000,2,0,2,1091789.5,0,1771.091796875,0,0,3729.128662109375,72501.2734375,0,30.531585693359375,0,0,51.74122619628906,623.88458251953125
CIV,1,Goh-Djiboua,83157122B34711482467037,WP,Confirmed_2020,2020,2,0,2,1899129.75,0,3082.521484375,0,0,4557.00439453125,159875.28125,0,30.531585693359375,0,0,51.74122619628906,623.88458251953125
CIV,1,Goh-Djiboua,83157122B34711482467037,WP,Unknown_Year,2020,0,0,22,1899129.75,0,0,0,0,221448.546875,792121.5625,0,0,0,0,2967.87109375,6787.2822265625
CIV,1,Lacs,83157122B20352934117266,WP,Confirmed_2000,2000,1,1,0,908729.625,80.70619201660156,3874.704833984375,967.74755859375,14847.2119140625,0,0,4.2525458335876465,144.4199676513672,39.03407669067383,617.669677734375,0,0
